epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1438,1.56075,2.72867,1.44955,0.57291,0.81011,0.6561,0.38252,1.35174,2.80002,1.33585,0.000551392,0.000551392,0.000551392
2,66.0793,1.41362,1.56495,1.29609,0.85686,0.89161,0.87819,0.51948,1.29354,2.13086,1.32108,0.00109184,0.00109184,0.00109184
3,95.103,1.3488,1.16894,1.24535,0.83802,0.90853,0.88922,0.55738,1.24829,1.61569,1.29086,0.001617,0.001617,0.001617
4,123.905,1.31118,0.9811,1.24344,0.87269,0.96038,0.91472,0.55265,1.39572,1.47626,1.46974,0.00159824,0.00159824,0.00159824
5,152.782,1.3038,0.89068,1.23069,0.86904,0.98466,0.92187,0.57996,1.20306,2.11693,1.22758,0.00157532,0.00157532,0.00157532
6,181.586,1.29176,0.86032,1.23399,0.86287,0.9721,0.89707,0.59733,1.18939,2.04003,1.22913,0.00155239,0.00155239,0.00155239
7,210.235,1.28763,0.81272,1.21975,0.86817,0.96151,0.93446,0.63681,1.14995,1.65901,1.21334,0.00152947,0.00152947,0.00152947
8,238.891,1.25818,0.78124,1.22007,0.82569,0.93838,0.9012,0.59139,1.20088,1.30661,1.23634,0.00150655,0.00150655,0.00150655
9,267.095,1.23367,0.74286,1.1937,0.85327,0.97827,0.92381,0.60942,1.21644,1.55279,1.25182,0.00148363,0.00148363,0.00148363
10,295.41,1.22073,0.72486,1.19109,0.82505,0.96815,0.92004,0.62878,1.10699,1.6718,1.19247,0.00146071,0.00146071,0.00146071
11,323.706,1.23795,0.73158,1.2016,0.86157,0.95878,0.94723,0.66174,1.12673,1.41704,1.20232,0.00143779,0.00143779,0.00143779
12,352.085,1.22328,0.70913,1.20135,0.85006,0.97021,0.90019,0.62664,1.10641,1.71387,1.19727,0.00141487,0.00141487,0.00141487
13,380.39,1.21172,0.69357,1.18889,0.87728,0.97225,0.94787,0.67004,1.08801,1.50333,1.19087,0.00139195,0.00139195,0.00139195
14,408.823,1.19015,0.68046,1.17816,0.87857,0.9786,0.92685,0.63641,1.11936,1.55341,1.19987,0.00136902,0.00136902,0.00136902
15,437.222,1.20151,0.67773,1.18211,0.87857,0.97814,0.90595,0.63733,1.10068,1.4354,1.17284,0.0013461,0.0013461,0.0013461
16,465.688,1.1902,0.66839,1.17794,0.89385,0.977,0.9223,0.64957,1.08882,1.56064,1.18197,0.00132318,0.00132318,0.00132318
17,494.101,1.18206,0.66775,1.16958,0.88936,0.9666,0.91545,0.66062,1.07187,1.65551,1.16601,0.00130026,0.00130026,0.00130026
18,522.278,1.17705,0.65988,1.17865,0.87412,0.98161,0.89903,0.62499,1.11826,1.56204,1.16765,0.00127734,0.00127734,0.00127734
19,550.632,1.16754,0.64942,1.1671,0.86329,0.97847,0.93131,0.66169,1.04262,1.49158,1.15862,0.00125442,0.00125442,0.00125442
20,578.964,1.15536,0.62543,1.15987,0.87945,0.97795,0.90906,0.65403,1.04586,1.44463,1.15648,0.0012315,0.0012315,0.0012315
21,607.278,1.15171,0.63102,1.16043,0.87561,0.97384,0.93831,0.66772,1.07482,1.36901,1.17419,0.00120857,0.00120857,0.00120857
22,635.843,1.1511,0.6128,1.16105,0.87463,0.98473,0.93913,0.66386,1.08319,1.53716,1.17178,0.00118565,0.00118565,0.00118565
23,664.572,1.14137,0.63104,1.15491,0.87001,0.98019,0.9593,0.69558,1.04679,1.4512,1.14658,0.00116273,0.00116273,0.00116273
